編號,產品名稱,類別,單價,入庫日期,現金
1,Microsoft Office 中文版,Office,23000,,
2,Microsoft Office 英文版,Office,21000,,
3,Microsoft Access 中文版,Office,6000,,
4,Microsoft Access 英文版,Office,4500,,
5,Microsoft Word 中文版,Office,6800,,
6,Microsoft Word 英文版,Office,6000,,
7,Microsoft Excel 中文版,Office,7200,,
8,Microsoft Excel 英文版,Office,7000,,
9,Microsoft PowerPoint 中文版,Office,6800,,
10,Microsoft PowerPoint 英文版,Office,6000,,
11,Microsoft Project 中文版,Office,8000,,
12,Microsoft Project 英文版,Office,7500,,
13,Microsoft Works 中文版,Office,18000,,
14,Microsoft Works 英文版,Office,17000,,
15,Microsoft FrontPage,Office,4500,,
16,Microsoft Visual Basic 中文版,Developer,20000,,
17,Microsoft Visual Basic 英文版,Developer,18000,,
18,Microsoft Visual FoxPro 中文版,Developer,21000,,
19,Microsoft Visual FoxPro 英文版,Developer,20000,,
20,Microsoft Visual C++,Developer,32000,,
21,Visual J++,Developer,25000,,
22,Visual Source Save,Developer,18000,,
23,Close Combat,Games,2400,,
24,Deadly Tide,Games,3200,,
25,Fury 3,Games,1800,,
26,GEX,Games,2000,,
27,Golf,Games,3000,,
28,Flight Simulator,Games,3000,,
29,Hellbender,Games,3200,,
30,Monster Truck Madness,Games,2200,,
31,NBA Full Court Press,Games,2700,,
32,Soccer,Games,3200,,
33,Windows NT Server 中文版,BackOffice,18000,,
34,Exchange Server 中文版,BackOffice,15000,,
35,SQL Server,BackOffice,12000,,
36,Internet Information Server,BackOffice,15000,,
37,Microsoft Proxy Server,BackOffice,18000,,
38,Microsoft SNA Server,BackOffice,18000,,
39,Systems Management Server,BackOffice,15000,,
40,Windows 95 中文版,Windows Family,6000,,
41,Microsoft Plus 中文版,Windows Family,2500,,
42,Windows NT Workstation 中文版,Windows Family,8000,,
43,Windows NT Server 中文版,Windows Family,15000,,
44,Internet Products,Windows Family,4800,,
45,Internet Explorer 中文版,Windows Family,3000,,
46,Internet phone,Windows Family,2000,,
